>NZ_HG994851.1 Escherichia coli isolate 127 chromosome main, complete sequence
>NZ_CP126926.1 Escherichia coli O2:K1:H5 strain APEC E19035 chromosome, complete genome
>NZ_LM995446.1 Escherichia coli strain K-12 substr. RV308 chromosome 1, complete sequence
>NZ_CP053234.1 Escherichia coli strain SCU-106 chromosome, complete genome
>NZ_LR778143.1 Escherichia coli isolate SC422 chromosome 1
>NZ_CP035312.1 Escherichia coli strain D72 chromosome, complete genome
>NZ_CP104846.1 Escherichia coli strain DFS.1 chromosome, complete genome
>NZ_CP053599.1 Escherichia coli strain NEBExpress chromosome, complete genome
>NZ_CP134380.1 Escherichia coli strain TUM11353 chromosome, complete genome
>NZ_CP014583.1 Escherichia coli strain CFSAN004176 chromosome, complete genome
>NZ_CP116913.1 Escherichia coli strain MLI023K1 chromosome, complete genome
>NZ_CP070066.1 Escherichia coli strain FDAARGOS_1296 chromosome, complete genome
>NZ_CP109601.1 Escherichia coli strain TL-14 chromosome, complete genome
>NZ_AP021933.1 Escherichia coli strain WP2-W18-ESBL-08 chromosome, complete genome
>NZ_AP022549.1 Escherichia coli strain THO-015 chromosome, complete genome
>NZ_CP006834.2 Escherichia coli APEC O2-211 chromosome, complete genome
>NC_017625.1 Escherichia coli DH1, complete sequence
>NZ_AP026099.1 Escherichia coli strain 61_150228 chromosome, complete genome
>NZ_CP046000.1 Escherichia coli strain 1916D18 chromosome, complete genome
>NZ_LR890326.1 Escherichia coli strain MINF_1A isolate MINF_1A chromosome 1, complete sequence
>NZ_CP007594.1 Escherichia coli strain SEC470 chromosome, complete genome
>NZ_CP069677.1 Escherichia coli O126:H45 strain MIN10 chromosome, complete genome
>NZ_CP072688.1 Escherichia coli strain P4 chromosome, complete genome
>NZ_CP028607.1 Escherichia coli strain 143 chromosome, complete genome
>NZ_CP068826.1 Escherichia coli strain RIVM_C030300 chromosome, complete genome
>NZ_CP058618.1 Escherichia coli strain JS316 chromosome, complete genome
>NZ_CP010183.1 Escherichia coli strain M3 chromosome, complete genome
>NZ_CP054353.1 Escherichia coli strain SCU-172 chromosome, complete genome
>NZ_CP027577.1 Escherichia coli strain 2013C-4225 chromosome, complete genome
>NZ_CP011416.1 Escherichia coli strain CFSAN029787 chromosome, complete genome
>NZ_AP027191.1 Escherichia coli strain 10153 chromosome, complete genome
>NZ_CP068809.1 Escherichia coli strain RIVM_C028497 chromosome, complete genome
>NZ_CP034801.1 Escherichia coli strain 2010C-3142 chromosome, complete genome
>NZ_AP022036.1 Escherichia coli strain WP3-S18-ESBL-09 chromosome, complete genome
>NZ_CP115968.1 Escherichia coli strain B-DidR chromosome, complete genome
>NZ_CP027331.1 Escherichia coli strain 2013C-3277 chromosome, complete genome
>NZ_CP135488.1 Escherichia coli strain isolateD chromosome, complete genome
>NZ_CP023826.1 Escherichia coli strain 4/4 chromosome, complete genome
>NZ_CP072980.1 Escherichia coli strain 2547 chromosome, complete genome
>NZ_CP126928.1 Escherichia coli O2:K1:H4 strain APEC E12053 chromosome, complete genome
>NZ_CP059283.1 Escherichia coli strain SY3626_hybrid chromosome, complete genome
>NZ_AP022650.1 Escherichia coli strain 09-02E chromosome, complete genome
>NZ_CP027340.1 Escherichia coli strain 2015C-3121 chromosome, complete genome
>NZ_CP101705.1 Escherichia coli strain 035152 chromosome, complete genome
>NZ_LR890651.1 Escherichia coli strain MINF_2E isolate MINF_2E chromosome 1, complete sequence
>NZ_CP021288.1 Escherichia coli strain PA45B chromosome, complete genome
>NZ_AP014855.1 Escherichia albertii strain NIAH_Bird_3 chromosome, complete genome
>NZ_JALDNN010000001.1 Escherichia coli strain EC2641 chromosome, whole genome shotgun sequence
>NZ_LR134082.1 Escherichia coli strain NCTC9038 chromosome 1, complete sequence
>NZ_CP101921.1 Escherichia coli strain QA-1986 83 chromosome, complete genome
>NZ_CP110814.1 Escherichia coli strain THB42-F4 chromosome, complete genome
>NZ_CP028483.1 Escherichia coli strain E41-1 chromosome, complete genome
>NZ_LS992168.1 Escherichia coli isolate Escherichia coli str. TO60 chromosome 1, complete sequence
>NZ_CP043185.1 Escherichia coli O16:H48 strain PG20180171 chromosome, complete genome
>NZ_CP129348.1 Escherichia coli strain STEC435 chromosome, complete genome
>NZ_CP047665.1 Escherichia coli strain LD26-1 chromosome, complete genome
>NZ_CP017100.1 Escherichia coli strain K-12 NEB 5-alpha chromosome, complete genome
>NZ_CP069990.1 Escherichia coli strain FDAARGOS_1304 chromosome, complete genome
>NZ_CP062736.1 Escherichia coli O157:H7 strain Z1766 chromosome, complete genome
>NZ_CP117672.1 Escherichia coli strain KW21 chromosome, complete genome
>NZ_CP097363.1 Escherichia coli strain AGR6137 chromosome, complete genome
>NZ_CP060065.1 Escherichia coli strain G5 chromosome, complete genome
>NZ_CP031349.1 Escherichia coli O145 strain RM9467-C1 chromosome, complete genome
>NZ_CP122758.1 Escherichia coli strain ETEC1739 chromosome, complete genome
>NZ_CP027388.1 Escherichia coli strain 2011C-4251 chromosome, complete genome
>NZ_AP022533.1 Escherichia coli strain THO-006 chromosome, complete genome
>NZ_CP062245.1 Escherichia coli strain AML003_ev01 chromosome, complete genome
>NZ_CP038425.1 Escherichia coli O157:H7 strain 2571 chromosome, complete genome
>NC_017638.1 Escherichia coli DH1, complete sequence
>NZ_CP142437.1 Escherichia coli strain Case 1 chromosome, complete genome
>NZ_CP028743.1 Escherichia coli strain A32 chromosome, complete genome
>NZ_AP022159.1 Escherichia coli strain WP5-S18-ESBL-07 chromosome, complete genome
>NZ_CP119441.1 Escherichia coli O121 strain 201805972 chromosome, complete genome
>NZ_CP045209.1 Escherichia coli strain 4 chromosome, complete genome
>NZ_CP057565.1 Escherichia fergusonii strain RHB23-C01 chromosome, complete genome
>NZ_CP048376.1 Escherichia coli strain 38 chromosome, complete genome
>NZ_CP086620.1 Escherichia coli strain RIVM_C039205 chromosome, complete genome
>NZ_CP101666.1 Escherichia coli strain M171-1 chromosome, complete genome
>NZ_CP020116.1 Escherichia coli strain AR_0104 chromosome, complete genome
>NZ_CP018979.1 Escherichia coli strain Ecol_656 chromosome, complete genome
>NZ_CP034595.1 Escherichia coli strain WCHEC035053S1G0 chromosome, complete genome
>NZ_CP032986.1 Escherichia coli strain BE2-5 chromosome, complete genome
>NZ_CP059917.1 Escherichia coli strain 64.1 chromosome, complete genome
>NZ_CP040307.1 Escherichia coli strain F1 E4 chromosome, complete genome
>NZ_CP043205.1 Escherichia coli O16:H48 strain PG20180054 chromosome, complete genome
>NZ_CP081719.1 Escherichia coli strain CX05 chromosome, complete genome
>NZ_CP042946.1 Escherichia fergusonii strain ATCC 35470 chromosome, complete genome
>NZ_CP087136.1 Escherichia coli strain JW5503 chromosome, complete genome
>NZ_CP044403.1 Escherichia coli strain NMBU-W10C18 chromosome, complete genome
>NZ_CP023165.1 Escherichia coli O22:H8 strain RM10809-3 chromosome, complete genome
>NZ_CP104274.1 Escherichia coli strain Ec15103 chromosome, complete genome
>NZ_AP021946.1 Escherichia coli strain WP2-S18-ESBL-08 chromosome, complete genome
>NZ_AP026788.1 Escherichia coli strain IPCEC42 chromosome, complete genome
>NZ_CP010157.1 Escherichia coli strain D10 chromosome, complete genome
>NZ_CP028671.1 Escherichia coli strain 116 chromosome, complete genome
>NZ_CP019008.1 Escherichia coli strain Ecol_AZ159 chromosome, complete genome
>NZ_CP038349.1 Escherichia coli O157:H7 strain F8952 chromosome, complete genome
>NZ_CP053602.1 Escherichia coli BL21(DE3) chromosome, complete genome
>NZ_CP087377.1 Escherichia coli strain RIVM_C019217 chromosome, complete genome
>NZ_CP024978.1 Escherichia coli strain CV839-15 chromosome, complete genome
>NZ_CP101269.1 Escherichia coli strain EC21Z-048 chromosome, complete genome
>NZ_CP107114.1 Escherichia coli strain S14 chromosome, complete genome
>NZ_CP010151.1 Escherichia coli strain D8 chromosome, complete genome
>NZ_CP047571.1 Escherichia coli strain 2EC1 chromosome, complete genome
>NZ_CP066032.1 Escherichia coli strain FDAARGOS_1059 chromosome, complete genome
>NZ_CP024275.1 Escherichia coli O6:H16 strain M9682-C1 chromosome, complete genome
>NZ_CP092533.1 Escherichia coli strain DS566-1 chromosome, complete genome
>NZ_CP077242.1 Escherichia fergusonii strain FDAARGOS 1438 chromosome, complete genome
>NZ_CP132550.1 Escherichia coli strain XL1Blue chromosome, complete genome
>NZ_CP074576.1 Escherichia coli strain CS18F chromosome, complete genome
>NZ_CP026199.1 Escherichia coli strain ECONIH6 chromosome, complete genome
>NZ_CP044143.1 Escherichia coli O157 strain AR-0429 chromosome, complete genome
>NZ_CP024243.1 Escherichia coli O128:H27 strain 90-9281 chromosome, complete genome
>NC_011740.1 Escherichia fergusonii ATCC 35469, complete sequence
>NZ_CP091534.1 Escherichia coli strain 537-20 chromosome, complete genome
>NZ_CP028735.1 Escherichia coli strain A41 chromosome, complete genome
>NZ_CP093369.1 Escherichia coli strain EV36 mutant 5a chromosome, complete genome
>NZ_CP017844.1 Escherichia coli strain FMU073332 chromosome, complete genome
>NZ_CP023899.1 Escherichia coli strain FDAARGOS_433 chromosome, complete genome
>NZ_CP091029.1 Escherichia coli strain STEC384 chromosome, complete genome
>NZ_CP117575.1 Escherichia albertii strain BIA_5 chromosome, complete genome
>NZ_CP062778.1 Escherichia coli O157:H7 strain Z1836 chromosome, complete genome
>NZ_CP083869.1 Escherichia coli strain NDM6 chromosome, complete genome
>NZ_CP028756.1 Escherichia coli strain A19 chromosome, complete genome
>NZ_CP115376.1 Escherichia coli strain CUVET20-PYO4 chromosome, complete genome
>NZ_CP099871.1 Escherichia albertii strain 253_2_EW_B chromosome, complete genome
>NZ_CP083263.1 Escherichia coli strain JNU chromosome, complete genome
>NZ_CP053284.1 Escherichia coli strain SCU-104 chromosome, complete genome
>NZ_CP090611.1 Escherichia coli isolate DCE7 chromosome, complete genome
>NZ_CP116123.1 Escherichia coli strain DETEC-P666 chromosome, complete genome
>NZ_CP122801.1 Escherichia coli strain ETEC1734 chromosome, complete genome
>NZ_CP010132.1 Escherichia coli strain C10 chromosome, complete genome
>NZ_CP128578.1 Escherichia coli strain VG38-53E1 chromosome, complete genome
>NZ_LR890288.1 Escherichia coli strain MSB1_1A isolate MSB1_1A chromosome 1, complete sequence
>NZ_CP032201.1 Escherichia coli strain AR_0086 chromosome, complete genome
>NZ_AP023226.1 Escherichia coli strain YJ3 chromosome, complete genome
>NZ_LR890198.1 Escherichia coli strain MINF_1D isolate MINF_1D chromosome 1, complete sequence
>NZ_CP070232.1 Escherichia coli strain 10R chromosome, complete genome
>NZ_AP022222.1 Escherichia coli strain WP8-S17-ESBL-12 chromosome, complete genome
>NZ_CP074019.1 Escherichia coli strain PM22 chromosome, complete genome
>NZ_CP062742.1 Escherichia coli O157:H7 strain Z1626 chromosome, complete genome
>NZ_CP128581.1 Escherichia coli strain VG888-46E9 chromosome, complete genome
>NZ_CP024245.1 Escherichia coli O27:H7 strain B4103-1 chromosome, complete genome
>NZ_AP027156.1 Escherichia coli strain JNE181771 chromosome, complete genome
>NZ_LR130564.1 Escherichia coli strain MS14387 isolate MS14387 chromosome 1
>NZ_CP117606.1 Escherichia albertii strain BIA_29 chromosome, complete genome
>NZ_CP069589.1 Escherichia coli strain FDAARGOS_1266 chromosome, complete genome
>NZ_CP068795.1 Escherichia coli strain RIVM_C011532 chromosome, complete genome
>NZ_CP102679.1 Escherichia coli strain XH989 chromosome, complete genome
>NZ_CP049101.1 Escherichia coli strain EC28 chromosome, complete genome
>NZ_CP111004.1 Escherichia coli strain J53-p131 chromosome, complete genome
>NZ_LT795502.1 Escherichia coli strain KV7 isolate KV7 chromosome I
>NZ_CP122722.1 Escherichia coli strain ETEC1747 chromosome, complete genome
>NZ_CP062744.1 Escherichia coli O157:H7 strain Z1615 chromosome, complete genome
>NZ_CP023357.1 Escherichia coli strain 317 chromosome, complete genome
>NZ_CP073953.1 Escherichia coli strain MB49 chromosome, complete genome
>NZ_CP041425.1 Escherichia coli strain STEC388 chromosome, complete genome
>NZ_CP101251.1 Escherichia coli strain EC21Z-083 chromosome, complete genome
>NZ_CP069438.1 Escherichia coli strain FDAARGOS_1260 chromosome, complete genome
>NZ_CP061749.1 Escherichia coli O15:H12 strain 2273-PO3 chromosome, complete genome
>NZ_CP079767.1 Escherichia coli strain SF10 chromosome, complete genome
>NZ_CP117628.1 Escherichia albertii strain BIA_22 chromosome, complete genome
>NZ_CP098178.1 Escherichia coli strain Z0117EC0148 chromosome, complete genome
>NZ_CP098192.1 Escherichia coli strain Z0117EC0116 chromosome, complete genome
>NZ_CP047002.1 Escherichia coli strain J-8 chromosome, complete genome
>NZ_AP022351.1 Escherichia coli strain E138 chromosome, complete genome
>NZ_CP062160.1 Escherichia coli strain 20R2R chromosome, complete genome
>NZ_CP085056.1 Escherichia coli strain P24_WM1_05.20 chromosome, complete genome
>NZ_CP136258.1 Escherichia albertii strain ESA302 chromosome, complete genome
>NZ_CP139904.1 Escherichia coli strain THN257 chromosome, complete genome
>NZ_CP133927.1 Escherichia coli strain M22546 chromosome, complete genome
>NZ_LT838200.1 Escherichia coli isolate WI2 isolate chromosome WI2, complete sequence
>NZ_CP048920.1 Escherichia coli strain SCU-101 chromosome, complete genome
>NZ_CP128875.1 Escherichia coli strain TUM14771 chromosome, complete genome
>NZ_LR778149.1 Escherichia coli isolate SC487 chromosome 1
>NZ_CP067265.1 Escherichia coli strain ABW_S38 chromosome, complete genome
>NZ_LS992190.1 Escherichia coli isolate Escherichia coli str. TO148 chromosome 1, complete sequence
>NZ_CP027205.2 Escherichia coli strain WCHEC025943 chromosome, complete genome
>NZ_AP022161.1 Escherichia coli strain WP5-S18-ESBL-08 chromosome, complete genome
>NZ_CP101858.1 Escherichia coli strain LP50-1 chromosome, complete genome
>NZ_CP028760.1 Escherichia coli strain A14 chromosome, complete genome
>NZ_CP073949.1 Escherichia coli strain MB50 chromosome, complete genome
>NZ_CP104649.1 Escherichia coli strain PNUSAE008512 chromosome, complete genome
>NZ_CP104618.1 Escherichia coli strain AHM9C68I chromosome, complete genome
>NZ_CP073768.1 Escherichia coli strain SH19PTE6 chromosome, complete genome
>NZ_AP026794.1 Escherichia coli strain IPCEC48 chromosome, complete genome
>NZ_CP076704.1 Escherichia coli O8:H28 strain BMH-17-0027 chromosome, complete genome
>NZ_CP106995.1 Escherichia coli strain SY22B3 chromosome, complete genome
>NZ_CP129269.1 Escherichia coli strain STEC1589 chromosome, complete genome
>NZ_CP027442.1 Escherichia coli strain 2013C-3252 chromosome, complete genome
>NZ_CP026354.1 Escherichia coli strain 3FA chromosome, complete genome
>NZ_CP075652.1 Escherichia coli strain STEC17-183 chromosome, complete genome
>NZ_CP028761.1 Escherichia coli strain A13 chromosome, complete genome
>NZ_CP038316.1 Escherichia coli O157:H7 strain NE92 chromosome, complete genome
>NZ_CP135244.1 Escherichia coli strain OHT76-1 chromosome, complete genome
>NZ_CP027766.1 Escherichia coli strain 2013C-3342 chromosome, complete genome
>NZ_CP124372.1 Escherichia coli strain AVS0151 chromosome, complete genome
>NZ_CP086259.1 Escherichia coli strain SCPM-O-B-9427 chromosome, complete genome
>NZ_CP041678.1 Escherichia coli strain ESBL 15 chromosome, complete genome
>NZ_AP018796.1 Escherichia coli strain E2855 chromosome, complete genome
>NZ_CP035865.1 Escherichia coli strain E275 a chromosome, complete genome
>NZ_CP082075.1 Escherichia coli strain MS20658 chromosome, complete genome
>NZ_OU342919.1 Escherichia coli isolate UR21/11-869 chromosome 1, complete sequence
>NZ_CP024138.1 Escherichia coli strain 14EC020 chromosome, complete genome
>NZ_CP019015.1 Escherichia coli strain Ecol_AZ162 chromosome, complete genome
>NZ_CP080056.1 Escherichia coli strain 18SZHZ655Rt chromosome, complete genome
>NZ_CP068805.1 Escherichia coli strain RIVM_C018567 chromosome, complete genome
>NZ_CP080139.1 Escherichia coli strain PK8241 chromosome, complete genome
>NZ_CP030337.1 Escherichia coli strain AR_451 chromosome, complete genome
>NZ_CP042892.1 Escherichia coli O10:H32 strain NMBU-W12E19 chromosome, complete genome
>NZ_CP028320.1 Escherichia coli O18:H1 strain CFSAN067215 chromosome, complete genome
>NC_007779.1 Escherichia coli str. K-12 substr. W3110, complete sequence
>NZ_CP090305.1 Escherichia coli strain Z503 chromosome, complete genome
>NZ_CP099910.1 Escherichia albertii strain 110_1_TBG_A chromosome, complete genome
>NZ_AP026082.1 Escherichia coli strain F765 chromosome, complete genome
>NZ_CP015834.1 Escherichia coli strain MS6198 chromosome, complete genome
>NZ_OY754371.1 Escherichia coli isolate F374 chromosome 1, complete sequence
>NZ_CP134805.1 Escherichia coli strain E7-1N7 chromosome, complete genome
>NZ_LS483303.1 Escherichia coli strain NCTC9967 chromosome 1, complete sequence
>NZ_CP058217.1 Escherichia coli Nissle 1917 chromosome, complete genome
>NZ_CP026349.1 Escherichia coli strain 6A chromosome, complete genome
>NZ_CP027587.1 Escherichia coli strain 2013C-4974 chromosome, complete genome
